time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
34,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
35,-3E-05,-1E-05,0,1E-05,-1E-05,0,0,-2E-05,0
44,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
45,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
46,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
48,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
49,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
50,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
51,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
52,0,-1E-05,-1E-05,-1E-05,-2E-05,1E-05,-1E-05,-1E-05,0
53,-2E-05,0,1E-05,0,0,-1E-05,0,1E-05,0
54,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
55,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
56,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
57,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
58,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
59,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
60,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
61,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
62,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
63,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
64,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
65,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
66,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
67,-2E-05,-1E-05,-3E-05,-1E-05,-1E-05,-2E-05,0,1E-05,0
68,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
69,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
70,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
71,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
72,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
73,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
74,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
75,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
76,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
77,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
78,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
79,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
80,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
81,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
82,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
83,-1E-05,0,-1E-05,-1E-05,-2E-05,0,-1E-05,-2E-05,0
84,0,-1E-05,0,-1E-05,1E-05,-1E-05,0,0,0
85,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
86,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
88,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
90,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
91,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
92,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
93,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
94,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
95,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
96,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
97,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
98,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
99,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
100,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
101,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
102,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
103,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
104,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
105,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
106,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
107,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
108,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
109,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
110,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
111,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
112,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
113,1E-05,1E-05,0,1E-05,1E-05,-1E-05,-1E-05,-1E-05,0
114,0,0,-2E-05,0,-2E-05,-1E-05,-1E-05,-1E-05,0
115,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
116,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
117,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
118,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
119,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
120,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
121,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
122,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
123,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
124,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
125,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
126,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
127,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
128,-3E-05,-5E-05,-7E-05,-6E-05,-5E-05,0,-2E-05,-1E-05,0
129,-1E-05,0,2E-05,1E-05,0,1E-05,0,0,0
130,-1E-05,0,2E-05,1E-05,0,1E-05,0,0,0
131,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
132,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
133,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
134,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
135,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
136,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
139,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
140,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
141,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
142,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
143,-2E-05,-1E-05,-2E-05,-1E-05,-2E-05,0,0,0,0
144,-2E-05,-4E-05,-4E-05,-1E-05,0,0,-1E-05,-3E-05,0
145,-1E-05,0,0,0,0,-1E-05,0,0,0
146,-1E-05,0,0,0,0,-1E-05,0,0,0
147,-1E-05,0,0,0,0,-1E-05,0,0,0
148,-1E-05,0,0,0,0,-1E-05,0,0,0
149,-1E-05,0,0,0,0,-1E-05,0,0,0
150,-1E-05,0,0,0,0,-1E-05,0,0,0
151,-1E-05,0,0,0,0,-1E-05,0,0,0
152,-1E-05,0,0,0,0,-1E-05,0,0,0
153,-1E-05,0,0,0,0,-1E-05,0,0,0
154,-1E-05,0,0,0,0,-1E-05,0,0,0
155,-1E-05,0,0,0,0,-1E-05,0,0,0
156,-1E-05,0,0,0,0,-1E-05,0,0,0
157,-1E-05,0,0,0,0,-1E-05,0,0,0
158,-1E-05,0,0,0,0,-1E-05,0,0,0
159,-1E-05,0,0,0,0,-1E-05,0,0,0
160,-1E-05,0,0,0,0,-1E-05,0,0,0
161,-1E-05,0,0,0,0,-1E-05,0,0,0
162,-1E-05,0,0,0,0,-1E-05,0,0,0
163,-1E-05,0,0,0,0,-1E-05,0,0,0
164,-1E-05,0,0,0,0,-1E-05,0,0,0
165,-1E-05,0,0,0,0,-1E-05,0,0,0
166,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
167,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
168,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
169,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
170,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
171,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
172,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
173,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
174,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
175,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
176,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
177,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
178,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
179,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
180,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
181,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
182,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
183,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
184,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
185,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
186,1E-05,-2E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,-2E-05,0
190,0,0,-1E-05,0,0,0,-1E-05,0,0
191,0,0,-1E-05,0,0,0,-1E-05,0,0
192,0,0,-1E-05,0,0,0,-1E-05,0,0
193,0,0,-1E-05,0,0,0,-1E-05,0,0
194,0,0,-1E-05,0,0,0,-1E-05,0,0
195,0,0,-1E-05,0,0,0,-1E-05,0,0
196,0,0,-1E-05,0,0,0,-1E-05,0,0
197,0,0,-1E-05,0,0,0,-1E-05,0,0
198,0,0,-1E-05,0,0,0,-1E-05,0,0
200,0,0,-1E-05,0,0,0,-1E-05,0,0
201,0,0,-1E-05,0,0,0,-1E-05,0,0
202,0,0,-1E-05,0,0,0,-1E-05,0,0
203,0,-2E-05,-2E-05,-2E-05,-1E-05,1E-05,0,-3E-05,0
204,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
205,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
206,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
208,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
209,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
210,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
211,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
212,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
214,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
216,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
217,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
218,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
219,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
220,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
221,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
222,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
224,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
225,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
226,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
227,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
228,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
229,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
231,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
233,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
234,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
235,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
236,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
239,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
240,0,1E-05,-1E-05,0,0,-2E-05,-1E-05,-3E-05,0
241,-1E-05,0,0,-1E-05,-1E-05,-2E-05,0,0,0
242,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
243,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
244,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
245,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
247,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
248,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
249,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
250,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
251,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
252,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
253,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
254,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
255,-1E-05,2E-05,1E-05,1E-05,0,-1E-05,-1E-05,0,0
256,-1E-05,-1E-05,-1E-05,-1E-05,-1E-05,0,-3E-05,-1E-05,0
257,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
258,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
259,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
260,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
261,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
262,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
263,1E-05,0,0,-1E-05,-2E-05,-2E-05,-1E-05,-1E-05,0
264,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
265,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
266,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
267,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
268,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
269,-2E-05,0,0,-1E-05,-1E-05,-1E-05,-1E-05,0,0
270,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
271,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
272,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
273,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
274,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
275,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
276,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
277,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
278,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
279,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
280,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
281,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
282,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
283,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
284,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
285,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
287,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
290,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
291,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
292,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
293,-3E-05,-5E-05,-6E-05,-4E-05,-1E-05,-1E-05,-1E-05,0,0
294,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
296,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
297,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
298,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
299,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
300,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
301,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
302,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
303,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
304,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
305,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
306,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
307,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
308,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
309,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
310,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
311,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
312,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
313,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
314,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
315,-1E-05,0,0,-1E-05,-2E-05,-1E-05,0,-1E-05,0
316,-1E-05,-1E-05,1E-05,0,0,-2E-05,0,-3E-05,0
317,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
318,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
319,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
320,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
321,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
322,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
323,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
324,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
325,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
326,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
327,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
328,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
329,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
330,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
331,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
332,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
333,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
334,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
335,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
336,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
339,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
340,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
341,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
342,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
343,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
344,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
345,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
346,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
347,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
348,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
349,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
350,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
351,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
352,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
353,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
354,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
355,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
356,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
357,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
358,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
359,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
360,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
361,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
362,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
363,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
364,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
365,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
366,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
367,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
368,1E-05,0,0,-1E-05,0,-2E-05,-1E-05,0,0
369,-1E-05,-4E-05,-4E-05,0,-4E-05,-2E-05,-2E-05,-2E-05,0
370,-1E-05,-1E-05,-1E-05,-1E-05,-2E-05,-2E-05,0,0,0
371,-2E-05,-1E-05,-1E-05,1E-05,-1E-05,-1E-05,-2E-05,0,0
372,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
373,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
374,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
375,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
376,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
377,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
378,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
379,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
380,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
381,0,-3E-05,-3E-05,-2E-05,-1E-05,-1E-05,-1E-05,0,0
